ID,First Name,Last Name,Gender,Year Level,Program Code
2023-0473,Ram Clyde,Gamboa,Male,2,BSCS
2025-0197,John,Smith,Male,1,BSCS
2023-0445,Maria,Johnson,Female,3,BSA
2024-0334,James,Williams,Male,2,BSTM
2025-0279,Emily,Brown,Female,4,BSECE
2022-0223,Michael,Davis,Male,1,BSBA
2023-0156,Olivia,Garcia,Female,3,BSBio
2024-0543,David,Martinez,Male,2,BSIT
2022-0321,Sophia,Rodriguez,Female,1,BSED
2025-0120,Ethan,Wilson,Male,4,BSECE
2023-0222,Isabella,Moore,Female,3,BSBA
2024-0185,Daniel,Taylor,Male,2,BSCS
2025-0479,Charlotte,Anderson,Female,4,BSN
2023-0381,Benjamin,Thomas,Male,1,BSED
2024-0502,Ava,Jackson,Female,2,BSIT
2022-0271,William,White,Male,1,BSA
2025-0216,Grace,Harris,Female,4,BSTM
2023-0137,Noah,Clark,Male,2,BSECE
2024-0299,Lily,Lewis,Female,3,BSCS
2022-0488,Alexander,Robinson,Male,1,BSBA
2025-0176,Mia,Young,Female,4,BSED
2023-0546,Jacob,Walker,Male,3,BSIT
2024-0435,Chloe,Hall,Female,2,BSN
2025-0304,Samuel,Allen,Male,4,BSBA
2022-0099,Lily,King,Female,1,BSECE
2023-0168,Lucas,Scott,Male,2,BSCS
2024-0569,Natalie,Green,Female,3,BSTM
2025-0081,Matthew,Adams,Male,4,BSBA
2023-0278,Amelia,Nelson,Female,1,BSECE
2024-0444,Michael,Carter,Male,3,BSCS
2022-0145,Olivia,Mitchell,Female,1,BSTM
2025-0325,Alexander,Perez,Male,4,BSBA
2023-0522,Zoe,Roberts,Female,2,BSIT
2024-0198,James,Turner,Male,3,BSECE
2025-0503,Emma,Phillips,Female,4,BSN
2022-0112,Henry,Campbell,Male,1,BSED
2023-0247,Sophia,Parker,Female,3,BSBA
2024-0450,Mason,Evans,Male,2,BSECE
2025-0356,Bella,Edwards,Female,4,BSTM
2023-0231,Jack,Collins,Male,2,BSIT
2024-0149,Grace,Sanchez,Female,3,BSA
2022-0534,Charlie,Mitchell,Male,1,BSCS
2025-0423,Amelia,Adams,Female,4,BSBA
2023-0075,Harry,Allen,Male,1,BSECE
2024-0554,Lily,Gonzalez,Female,3,BSTM
2022-0380,Jack,Harris,Male,2,BSIT
2025-0412,Mia,Martinez,Female,4,BSED
2023-0457,Wyatt,Walker,Male,2,BSECE
2024-0018,Ava,Lewis,Female,3,BSBA
2022-0107,Benjamin,Davis,Male,1,BSTM
2025-0531,Emma,Clark,Female,4,BSCS
2023-0306,Isabella,Robinson,Female,2,BSBA
2024-0215,Noah,Walker,Male,3,BSECE
2022-0169,Matthew,Green,Male,1,BSBA
2025-0287,Sophia,Adams,Female,4,BSCS
2023-0354,Lucas,Clark,Male,2,BSBA
2024-0462,Lily,Hall,Female,3,BSA
2025-0483,Alexander,Harris,Male,4,BSIT
2022-0261,James,Johnson,Male,1,BSED
2023-0291,Emily,Garcia,Female,2,BSECE
2024-0374,David,Thomas,Male,3,BSTM
2025-0205,Mia,Anderson,Female,4,BSBA
2023-0256,Noah,Martinez,Male,2,BSCS
2024-0401,Isabella,Taylor,Female,3,BSIT
2022-0299,Samuel,Scott,Male,1,BSA
2025-0334,Lily,Carter,Female,4,BSBA
2023-0468,William,Nelson,Male,2,BSN
2024-0572,Emma,Parker,Female,3,BSCS
2022-0524,Matthew,Turner,Male,1,BSECE
2025-0311,Olivia,Edwards,Female,4,BSA
2023-0177,Noah,Robinson,Male,2,BSECE
2024-0110,Sophia,Thompson,Female,3,BSIT
2022-0056,James,Evans,Male,1,BSTM
2025-0402,Lily,Young,Female,4,BSECE
2023-0394,Benjamin,Moore,Male,2,BSCS
2024-0245,Noah,Rodriguez,Male,3,BSBA
2025-0274,Olivia,Thompson,Female,4,BSECE
2022-0415,William,Lee,Male,1,BSED
2023-0486,Emily,Harris,Female,3,BSBA
2024-0320,Isabella,Carter,Female,2,BSCS
2025-0514,Noah,Evans,Male,4,BSTM
2023-0369,Benjamin,Mitchell,Male,1,BSIT
2024-0331,Charlotte,Lewis,Female,3,BSBA
2022-0013,James,Roberts,Male,1,BSCS
2025-0141,Samuel,Davis,Male,4,BSBA
2023-0093,Amelia,Walker,Female,2,BSIT
2024-0187,Matthew,Harris,Male,3,BSN
2022-0258,Lily,Brown,Female,1,BSCS
2025-0397,Alexander,Parker,Male,4,BSTM
2023-0506,Emma,Thompson,Female,2,BSECE
2024-0098,Noah,Scott,Male,3,BSBA
2025-0438,Ava,Miller,Female,4,BSECE
2023-0411,Daniel,Martinez,Male,2,BSED
2024-0352,Isabella,Johnson,Female,3,BSIT
2025-0547,Grace,Lewis,Female,4,BSBA
2023-0324,Matthew,Rodriguez,Male,2,BSCS
2024-0583,Sophia,Evans,Female,3,BSBA
